IND,0,1,2,3,4
NA19098,1e-05,1e-05,1e-05,1e-05,0.99996
NA19099,1e-05,1e-05,1e-05,1e-05,0.99996
NA19102,1e-05,1e-05,1e-05,1e-05,0.99996
NA19107,1e-05,1e-05,1e-05,1e-05,0.99996
NA19108,1e-05,1e-05,1e-05,1e-05,0.99996
NA19113,1e-05,1e-05,1e-05,1e-05,0.99996
NA19114,1e-05,1e-05,1e-05,1e-05,0.99996
NA19116,1e-05,1e-05,1e-05,1e-05,0.99996
NA19117,1e-05,1e-05,1e-05,1e-05,0.99996
NA19119,1e-05,1e-05,1e-05,1e-05,0.99996
NA19121,1e-05,1e-05,1e-05,1e-05,0.99996
NA19129,1e-05,1e-05,1e-05,1e-05,0.99996
NA19130,1e-05,1e-05,1e-05,1e-05,0.99996
NA19131,1e-05,1e-05,1e-05,1e-05,0.99996
NA19137,1e-05,1e-05,1e-05,1e-05,0.99996
NA19138,1e-05,1e-05,1e-05,1e-05,0.99996
NA19141,1e-05,1e-05,1e-05,1e-05,0.99996
NA19143,1e-05,1e-05,1e-05,1e-05,0.99996
NA19144,1e-05,1e-05,1e-05,1e-05,0.99996
NA19146,1e-05,1e-05,1e-05,1e-05,0.99996
NA19147,1e-05,1e-05,1e-05,1e-05,0.99996
NA19149,1e-05,1e-05,1e-05,1e-05,0.99996
NA19152,1e-05,1e-05,1e-05,1e-05,0.99996
NA19153,1e-05,1e-05,1e-05,1e-05,0.99996
NA19159,1e-05,1e-05,1e-05,1e-05,0.99996
NA19160,1e-05,1e-05,1e-05,1e-05,0.99996
NA19171,1e-05,1e-05,1e-05,1e-05,0.99996
NA19172,1e-05,1e-05,1e-05,1e-05,0.99996
NA19175,1e-05,1e-05,1e-05,1e-05,0.99996
NA19184,1e-05,1e-05,1e-05,1e-05,0.99996
NA19185,1e-05,1e-05,1e-05,1e-05,0.99996
NA19189,1e-05,1e-05,1e-05,1e-05,0.99996
NA19190,1e-05,1e-05,1e-05,1e-05,0.99996
NA19197,1e-05,1e-05,1e-05,1e-05,0.99996
NA19198,1e-05,1e-05,1e-05,1e-05,0.99996
NA19200,1e-05,1e-05,1e-05,1e-05,0.99996
NA19201,1e-05,1e-05,1e-05,1e-05,0.99996
NA19204,1e-05,1e-05,1e-05,1e-05,0.99996
NA19206,1e-05,1e-05,1e-05,1e-05,0.99996
NA19207,1e-05,1e-05,1e-05,1e-05,0.99996
NA19209,1e-05,1e-05,1e-05,1e-05,0.99996
NA19210,1e-05,1e-05,1e-05,1e-05,0.99996
NA19213,1e-05,1e-05,1e-05,1e-05,0.99996
NA19214,1e-05,1e-05,1e-05,1e-05,0.99996
NA19223,1e-05,1e-05,1e-05,1e-05,0.99996
NA19225,1e-05,1e-05,1e-05,1e-05,0.99996
NA19235,1e-05,1e-05,1e-05,1e-05,0.99996
NA19236,1e-05,1e-05,1e-05,1e-05,0.99996
NA19238,1e-05,1e-05,1e-05,1e-05,0.99996
NA19239,1e-05,1e-05,1e-05,1e-05,0.99996
NA19247,1e-05,1e-05,1e-05,1e-05,0.99996
NA19248,1e-05,1e-05,1e-05,1e-05,0.99996
NA19256,1e-05,1e-05,1e-05,1e-05,0.99996
NA19257,1e-05,1e-05,1e-05,1e-05,0.99996
NA19731,1e-05,1e-05,1e-05,0.99996,1e-05
SS6004479,1e-05,1e-05,1e-05,0.99996,1e-05
A-031967-5,1e-05,1e-05,1e-05,0.99996,1e-05
A-057734-8,1e-05,1e-05,1e-05,0.99996,1e-05
A-069542-1,1e-05,1e-05,1e-05,0.99996,1e-05
A-081278-6,1e-05,1e-05,1e-05,0.99996,1e-05
A-118493-6,1e-05,1e-05,1e-05,0.99996,1e-05
A-130589-7,1e-05,1e-05,1e-05,0.99996,1e-05
A-133784-0,1e-05,1e-05,1e-05,0.99996,1e-05
A-143882-0,1e-05,1e-05,1e-05,0.99996,1e-05
A-144395-2,1e-05,1e-05,1e-05,0.99996,1e-05
A-147644-0,1e-05,1e-05,1e-05,0.99996,1e-05
A-148436-0,1e-05,1e-05,1e-05,0.009762,0.990208
B-017667-9,1e-05,1e-05,1e-05,0.99996,1e-05
B-028845-8,1e-05,1e-05,1e-05,0.99996,1e-05
B-049149-9,1e-05,1e-05,1e-05,0.99996,1e-05
B-057276-0,1e-05,1e-05,1e-05,0.99996,1e-05
B-077292-2,1e-05,1e-05,1e-05,0.99996,1e-05
B-077436-6,1e-05,1e-05,1e-05,0.99996,1e-05
B-098604-4,1e-05,1e-05,1e-05,0.99996,1e-05
B-101799-7,1e-05,1e-05,1e-05,0.992449,0.007521
B-126684-1,1e-05,1e-05,1e-05,0.99996,1e-05
B-139608-6,1e-05,1e-05,1e-05,0.99996,1e-05
B-156429-5,1e-05,1e-05,1e-05,0.99996,1e-05
C-029818-4,1e-05,1e-05,1e-05,0.947793,0.052177
C-057736-4,1e-05,1e-05,1e-05,0.99996,1e-05
C-058339-5,1e-05,1e-05,1e-05,0.988249,0.011721
C-058960-8,1e-05,1e-05,1e-05,0.99996,1e-05
C-059392-2,1e-05,1e-05,1e-05,0.99996,1e-05
C-076357-5,1e-05,1e-05,1e-05,0.987436,0.012534
C-078562-8,1e-05,1e-05,1e-05,0.99996,1e-05
C-080776-1,1e-05,1e-05,1e-05,0.99996,1e-05
C-094375-5,1e-05,1e-05,1e-05,0.99996,1e-05
C-105769-6,1e-05,1e-05,1e-05,0.958979,0.040991
C-128764-9,1e-05,1e-05,1e-05,0.99996,1e-05
C-129547-8,1e-05,1e-05,1e-05,0.99996,1e-05
C-144892-8,1e-05,1e-05,1e-05,0.99996,1e-05
C-146566-7,1e-05,1e-05,1e-05,0.99996,1e-05
C-154648-3,1e-05,1e-05,1e-05,0.99996,1e-05
D-018389-8,1e-05,1e-05,1e-05,0.99996,1e-05
D-023699-4,1e-05,1e-05,1e-05,0.99996,1e-05
D-045893-6,1e-05,1e-05,1e-05,0.99996,1e-05
D-079445-5,1e-05,1e-05,1e-05,0.99996,1e-05
D-099047-5,1e-05,1e-05,1e-05,0.99996,1e-05
D-109865-8,1e-05,1e-05,1e-05,0.99996,1e-05
D-114896-6,1e-05,1e-05,1e-05,0.99996,1e-05
D-157754-5,1e-05,1e-05,1e-05,0.99996,1e-05
E-048378-5,1e-05,1e-05,1e-05,0.99996,1e-05
E-049827-1,1e-05,1e-05,1e-05,0.99996,1e-05
E-057963-3,1e-05,1e-05,1e-05,0.99996,1e-05
E-092883-0,1e-05,1e-05,1e-05,0.99996,1e-05
