IND,0,1,2,3,4,5,6,7,8,9
HG01813,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01815,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01816,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01817,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01840,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01841,1e-05,1e-05,1e-05,0.000158,1e-05,0.999762,1e-05,1e-05,1e-05,1e-05
HG01842,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01843,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01844,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01845,1e-05,1e-05,1e-05,0.007691,1e-05,0.992229,1e-05,1e-05,1e-05,1e-05
HG01846,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01847,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01848,1e-05,1e-05,1e-05,0.006886,1e-05,0.993034,1e-05,1e-05,1e-05,1e-05
HG01849,1e-05,1e-05,1e-05,0.005722,1e-05,0.994198,1e-05,1e-05,1e-05,1e-05
HG01851,1e-05,1e-05,1e-05,0.009614,1e-05,0.990306,1e-05,1e-05,1e-05,1e-05
HG01852,1e-05,1e-05,1e-05,0.008139,1e-05,0.991781,1e-05,1e-05,1e-05,1e-05
HG01853,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01855,1e-05,1e-05,1e-05,1e-05,1e-05,0.988987,0.010933,1e-05,1e-05,1e-05
HG01857,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01858,1e-05,1e-05,1e-05,0.006681,1e-05,0.993239,1e-05,1e-05,1e-05,1e-05
HG01859,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01860,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01861,1e-05,1e-05,1e-05,0.001662,1e-05,0.998258,1e-05,1e-05,1e-05,1e-05
HG01862,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01863,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01864,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01865,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01866,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01867,1e-05,1e-05,1e-05,0.002207,1e-05,0.994773,0.002949,1e-05,1e-05,1e-05
HG01868,1e-05,1e-05,1e-05,0.003096,1e-05,0.996824,1e-05,1e-05,1e-05,1e-05
HG01869,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG01870,1e-05,1e-05,1e-05,0.00376,1e-05,0.99616,1e-05,1e-05,1e-05,1e-05
HG01871,1e-05,1e-05,1e-05,0.008623,1e-05,0.991297,1e-05,1e-05,1e-05,1e-05
HG01872,1e-05,1e-05,1e-05,0.003038,1e-05,0.943695,1e-05,1e-05,0.053197,1e-05
HG01873,1e-05,1e-05,1e-05,0.003395,1e-05,0.996525,1e-05,1e-05,1e-05,1e-05
HG01874,1e-05,1e-05,1e-05,0.005347,1e-05,0.994573,1e-05,1e-05,1e-05,1e-05
HG01878,1e-05,1e-05,1e-05,0.005708,1e-05,0.994212,1e-05,1e-05,1e-05,1e-05
HG01917,1e-05,1e-05,1e-05,1e-05,0.867033,1e-05,1e-05,0.132887,1e-05,1e-05
HG01918,1e-05,1e-05,1e-05,1e-05,0.78012,1e-05,1e-05,0.2198,1e-05,1e-05
HG01920,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05,1e-05
HG01921,1e-05,1e-05,1e-05,1e-05,0.772942,1e-05,1e-05,0.226978,1e-05,1e-05
HG01923,1e-05,1e-05,1e-05,1e-05,0.950496,1e-05,1e-05,0.049424,1e-05,1e-05
HG01926,1e-05,1e-05,1e-05,1e-05,0.999907,1.1e-05,1e-05,1e-05,1.2e-05,1e-05
HG01927,1e-05,1e-05,1e-05,1e-05,0.957071,1e-05,1e-05,0.042849,1e-05,1e-05
HG01932,1e-05,1e-05,1e-05,1e-05,0.807597,1e-05,1e-05,0.192323,1e-05,1e-05
HG01935,1e-05,1e-05,1e-05,1e-05,0.747319,1e-05,1e-05,0.252601,1e-05,1e-05
HG01938,1e-05,1e-05,1e-05,1e-05,0.999909,1e-05,1e-05,1.1e-05,1e-05,1e-05
HG01939,1e-05,1e-05,1e-05,1e-05,0.785132,1e-05,1e-05,0.214788,1e-05,1e-05
HG01942,1e-05,1e-05,1e-05,1e-05,0.852098,1e-05,1e-05,0.147822,1e-05,1e-05
HG01944,1e-05,1e-05,1e-05,1e-05,0.531307,0.32879,1e-05,0.086312,0.05353,1e-05
HG01945,1e-05,1e-05,1e-05,1e-05,0.801354,1e-05,1e-05,0.198566,1e-05,1e-05
HG01953,1e-05,1e-05,1e-05,1e-05,0.903379,1e-05,1e-05,0.096541,1e-05,1e-05
HG01954,1e-05,1e-05,1e-05,1e-05,0.91865,1e-05,1e-05,0.08127,1e-05,1e-05
HG01967,1e-05,1e-05,1e-05,1e-05,0.638486,1e-05,1e-05,0.361434,1e-05,1e-05
HG01968,1e-05,1e-05,1e-05,1e-05,0.98717,1e-05,1e-05,0.01275,1e-05,1e-05
HG01970,1e-05,1e-05,1e-05,1e-05,0.667303,1e-05,1e-05,0.332617,1e-05,1e-05
HG01974,1e-05,1e-05,1e-05,1e-05,0.97942,1e-05,1e-05,0.0205,1e-05,1e-05
HG01976,1e-05,1e-05,1e-05,1e-05,0.701812,1e-05,1e-05,0.298108,1e-05,1e-05
HG01977,1e-05,1e-05,1e-05,1e-05,0.806268,1e-05,1e-05,0.193652,1e-05,1e-05
HG01979,1e-05,1e-05,1e-05,1e-05,0.715648,1e-05,1e-05,0.284272,1e-05,1e-05
HG01982,1e-05,1e-05,1e-05,1e-05,0.788915,1e-05,1e-05,0.211005,1e-05,1e-05
HG01991,1e-05,1e-05,1e-05,1e-05,0.764924,1e-05,1e-05,0.234996,1e-05,1e-05
HG01992,1e-05,1e-05,1e-05,1e-05,0.924825,1e-05,1e-05,0.075095,1e-05,1e-05
HG02002,1e-05,1e-05,1e-05,1e-05,0.787731,1e-05,1e-05,0.212189,1e-05,1e-05
HG02003,1e-05,1e-05,1e-05,1e-05,0.822398,1e-05,1e-05,0.177522,1e-05,1e-05
HG02008,1e-05,1e-05,1e-05,1e-05,0.858491,1e-05,1e-05,0.141429,1e-05,1e-05
HG02016,1e-05,1e-05,1e-05,0.007507,1e-05,0.90416,0.088263,1e-05,1e-05,1e-05
HG02017,1e-05,1e-05,1e-05,0.005804,1e-05,0.97998,0.014146,1e-05,1e-05,1e-05
HG02019,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG02020,1e-05,1e-05,1e-05,0.004371,1e-05,0.995549,1e-05,1e-05,1e-05,1e-05
HG02023,1e-05,1e-05,1e-05,4.6e-05,1e-05,0.999874,1e-05,1e-05,1e-05,1e-05
HG02025,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG02026,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG02028,1e-05,1e-05,1e-05,0.005966,1e-05,0.993954,1e-05,1e-05,1e-05,1e-05
HG02029,1e-05,1e-05,1e-05,1e-05,1e-05,0.89257,1e-05,1e-05,0.10735,1e-05
HG02031,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG02032,1e-05,1e-05,1e-05,1e-05,1e-05,0.903796,1e-05,1e-05,0.096124,1e-05
HG02035,1e-05,1e-05,1e-05,0.001525,1e-05,0.988845,0.00956,1e-05,1e-05,1e-05
HG02040,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG02047,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG02048,1e-05,1e-05,1e-05,0.000426,1e-05,0.999494,1e-05,1e-05,1e-05,1e-05
HG02049,1e-05,1e-05,1e-05,0.010782,1e-05,0.989138,1e-05,1e-05,1e-05,1e-05
HG02050,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG02057,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG02058,1e-05,1e-05,1e-05,0.005495,1e-05,0.958399,0.036036,1e-05,1e-05,1e-05
HG02060,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG02061,1e-05,1e-05,1e-05,1e-05,1e-05,0.990097,0.009823,1e-05,1e-05,1e-05
HG02064,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05
HG02067,1e-05,1e-05,1e-05,0.022093,1e-05,0.975934,0.001903,1e-05,1e-05,1e-05
HG02069,1e-05,1e-05,1e-05,1e-05,1e-05,0.997115,0.002805,1e-05,1e-05,1e-05
HG02070,1e-05,1e-05,1e-05,0.00968,1e-05,0.99024,1e-05,1e-05,1e-05,1e-05
HG02072,1e-05,1e-05,1e-05,0.011859,1e-05,0.988061,1e-05,1e-05,1e-05,1e-05
HG02073,1e-05,1e-05,1e-05,0.004814,1e-05,0.995106,1e-05,1e-05,1e-05,1e-05
HG02075,1e-05,1e-05,1e-05,0.001366,1e-05,0.998554,1e-05,1e-05,1e-05,1e-05
