Sample,Population code,Population,Superpopulation code,Superpopulation,Source,Latitude,Longitude,Region,Sample Alias,Country,Town,Single_Ancestry,0,1,2,3,4,5,assignment
HG00261,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,5
HG00262,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,5
HG00263,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,5
HG00264,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,5
HG00265,GBR,British,EUR,European,1kG,54.00366,-2.547855,Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland),,,,1.0,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,5
HG00266,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.040316,1e-05,1e-05,1e-05,0.0144,0.945254,5
HG00267,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.047554,1e-05,1e-05,1e-05,0.018734,0.933682,5
HG00268,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.026473,1e-05,1e-05,1e-05,0.017429,0.956068,5
HG00269,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.041797,1.9e-05,1e-05,1e-05,0.024269,0.933895,5
HG00271,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.057473,1e-05,1e-05,1e-05,0.033633,0.908864,5
HG00272,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.061733,1e-05,1e-05,1e-05,0.026521,0.911715,5
HG00273,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.037633,1e-05,1e-05,1e-05,0.009361,0.952975,5
HG00274,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.020497,1e-05,1e-05,1e-05,0.027182,0.952291,5
HG00275,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.022838,1e-05,1e-05,1e-05,0.018073,0.959059,5
HG00276,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.040471,1e-05,1.4e-05,1e-05,0.01639,0.943105,5
HG00277,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.015688,1e-05,1e-05,1e-05,0.016007,0.968276,5
HG00278,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.041363,1.2e-05,1e-05,1e-05,0.022291,0.936313,5
HG00280,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.041927,1e-05,1e-05,1e-05,0.014341,0.943702,5
HG00281,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.034509,1e-05,1e-05,1e-05,0.026098,0.939363,5
HG00282,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.041473,1e-05,1e-05,1e-05,0.012764,0.945733,5
HG00284,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.036512,1e-05,1e-05,1e-05,0.025443,0.938015,5
HG00285,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.045498,1e-05,1e-05,1e-05,0.031082,0.923391,5
HG00288,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.041295,1e-05,1e-05,1e-05,0.023849,0.934826,5
HG00290,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.059714,1e-05,1e-05,1e-05,0.02132,0.918936,5
HG00304,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.04113,1e-05,1e-05,1e-05,0.015627,0.943213,5
HG00306,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.031394,1e-05,1e-05,1e-05,0.018093,0.950483,5
HG00308,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.058609,1e-05,1e-05,1e-05,0.019354,0.922007,5
HG00309,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.033121,1e-05,1e-05,1e-05,0.026194,0.940655,5
HG00310,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.020773,1e-05,1e-05,1e-05,0.02075,0.958447,5
HG00311,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.003992,1e-05,1e-05,1e-05,0.019119,0.976859,5
HG00313,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.052951,1e-05,1e-05,1e-05,0.01773,0.929289,5
HG00315,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.046126,1e-05,1e-05,1e-05,0.027091,0.926753,5
HG00318,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.031425,1e-05,1e-05,1e-05,0.010734,0.957811,5
HG00319,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.045513,1e-05,1e-05,1e-05,0.02048,0.933977,5
HG00320,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.036115,1e-05,1.7e-05,1e-05,0.015767,0.948081,5
HG00321,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.050591,1e-05,1e-05,1e-05,0.029093,0.920286,5
HG00323,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.045403,1e-05,1e-05,1e-05,0.019784,0.934782,5
HG00324,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.037486,1e-05,1e-05,1e-05,0.032128,0.930356,5
HG00325,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.050869,1e-05,1e-05,1e-05,0.026095,0.923006,5
HG00326,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.03679,1e-05,1e-05,1e-05,0.018483,0.944697,5
HG00327,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.038703,1e-05,1e-05,1e-05,0.020327,0.94094,5
HG00328,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.038766,1e-05,1e-05,1e-05,0.018991,0.942213,5
HG00329,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.02944,1e-05,1e-05,1e-05,0.004433,0.966098,5
HG00330,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.040543,1e-05,1e-05,1e-05,0.01898,0.940447,5
HG00331,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.028733,1e-05,1e-05,1e-05,0.022556,0.948681,5
HG00332,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.045127,1e-05,1e-05,1e-05,0.014327,0.940515,5
HG00334,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.031677,1e-05,1e-05,1e-05,0.011364,0.956929,5
HG00335,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.029344,1e-05,1e-05,1e-05,0.010192,0.960434,5
HG00336,FIN,Finnish,EUR,European,1kG,64.49884603,26.2746656,,,,,1.0,0.04662,1e-05,1e-05,1e-05,0.019689,0.933661,5
