IND,0,1,2
NA18486,1e-05,0.99998,1e-05
NA18488,1e-05,0.99998,1e-05
NA18489,1e-05,0.99998,1e-05
NA18498,1e-05,0.99998,1e-05
NA18499,1e-05,0.99998,1e-05
NA18501,1e-05,0.99998,1e-05
NA18502,1e-05,0.99998,1e-05
NA18504,1e-05,0.99998,1e-05
NA18505,1e-05,0.99998,1e-05
NA18507,1e-05,0.99998,1e-05
NA18508,1e-05,0.99998,1e-05
NA18510,1e-05,0.99998,1e-05
NA18516,1e-05,0.99998,1e-05
NA18517,1e-05,0.99998,1e-05
NA18519,1e-05,0.99998,1e-05
NA18520,1e-05,0.99998,1e-05
NA18522,1e-05,0.99998,1e-05
NA18523,1e-05,0.99998,1e-05
NA18853,1e-05,0.99998,1e-05
NA18856,1e-05,0.99998,1e-05
NA18858,1e-05,0.99998,1e-05
NA18861,1e-05,0.99998,1e-05
NA18864,1e-05,0.99998,1e-05
NA18865,1e-05,0.99998,1e-05
NA18867,1e-05,0.99998,1e-05
NA18868,1e-05,0.99998,1e-05
NA18870,1e-05,0.99998,1e-05
NA18871,1e-05,0.99998,1e-05
NA18873,1e-05,0.99998,1e-05
NA18874,1e-05,0.99998,1e-05
NA18876,1e-05,0.99998,1e-05
NA18877,1e-05,0.99998,1e-05
NA18878,1e-05,0.99998,1e-05
NA18879,1e-05,0.99998,1e-05
NA18881,1e-05,0.99998,1e-05
NA18907,1e-05,0.99998,1e-05
NA18908,1e-05,0.99998,1e-05
NA18909,1e-05,0.99998,1e-05
NA18910,1e-05,0.99998,1e-05
NA18912,1e-05,0.99998,1e-05
NA18915,1e-05,0.99998,1e-05
NA18916,1e-05,0.99998,1e-05
NA18917,1e-05,0.99998,1e-05
NA18923,1e-05,0.99998,1e-05
NA18924,1e-05,0.99998,1e-05
NA18933,1e-05,0.99998,1e-05
NA18934,1e-05,0.99998,1e-05
NA19092,1e-05,0.99998,1e-05
NA19093,1e-05,0.99998,1e-05
NA19095,1e-05,0.99998,1e-05
NA19096,1e-05,0.99998,1e-05
NA19098,1e-05,0.99998,1e-05
NA19099,1e-05,0.99998,1e-05
NA19102,1e-05,0.99998,1e-05
NA19107,1e-05,0.99998,1e-05
NA19108,1e-05,0.99998,1e-05
NA19113,1e-05,0.99998,1e-05
NA19114,1e-05,0.99998,1e-05
NA19116,1e-05,0.99998,1e-05
NA19117,1e-05,0.99998,1e-05
NA19118,1e-05,0.99998,1e-05
NA19119,1e-05,0.99998,1e-05
NA19121,1e-05,0.99998,1e-05
NA19129,1e-05,0.99998,1e-05
NA19130,1e-05,0.99998,1e-05
NA19131,1e-05,0.99998,1e-05
NA19137,1e-05,0.99998,1e-05
NA19138,1e-05,0.99998,1e-05
NA19141,1e-05,0.99998,1e-05
NA19143,1e-05,0.99998,1e-05
NA19144,1e-05,0.99998,1e-05
NA19146,1e-05,0.99998,1e-05
NA19147,1e-05,0.99998,1e-05
NA19149,1e-05,0.99998,1e-05
NA19152,1e-05,0.99998,1e-05
NA19153,1e-05,0.99998,1e-05
NA19159,1e-05,0.99998,1e-05
NA19160,1e-05,0.99998,1e-05
NA19171,1e-05,0.99998,1e-05
NA19172,1e-05,0.99998,1e-05
NA19175,1e-05,0.99998,1e-05
NA19184,1e-05,0.99998,1e-05
NA19185,1e-05,0.99998,1e-05
NA19189,1e-05,0.99998,1e-05
NA19190,1e-05,0.99998,1e-05
NA19197,1e-05,0.99998,1e-05
NA19198,1e-05,0.99998,1e-05
NA19200,1e-05,0.99998,1e-05
NA19201,1e-05,0.99998,1e-05
NA19204,1e-05,0.99998,1e-05
NA19206,1e-05,0.99998,1e-05
NA19207,1e-05,0.99998,1e-05
NA19209,1e-05,0.99998,1e-05
NA19210,1e-05,0.99998,1e-05
NA19213,1e-05,0.99998,1e-05
NA19214,1e-05,0.99998,1e-05
NA19222,1e-05,0.99998,1e-05
NA19223,1e-05,0.99998,1e-05
NA19225,1e-05,0.99998,1e-05
NA19235,1e-05,0.99998,1e-05
NA19236,1e-05,0.99998,1e-05
NA19238,1e-05,0.99998,1e-05
NA19239,1e-05,0.99998,1e-05
NA19247,1e-05,0.99998,1e-05
NA19248,1e-05,0.99998,1e-05
NA19256,1e-05,0.99998,1e-05
NA19257,1e-05,0.99998,1e-05
NA19384,1e-05,0.99998,1e-05
Z-008566-4,1e-05,0.356442,0.643548
O-002093-3,1e-05,0.354861,0.645129
F-088087-4,1e-05,0.353787,0.646203
B-014688-8,1e-05,0.350566,0.649424
T-067042-3,1e-05,0.348247,0.651743
M-024303-0,1e-05,0.345497,0.654493
C-029197-2,1e-05,0.341806,0.658184
P-053043-7,1e-05,0.341112,0.658878
R-018161-0,1e-05,0.336365,0.663625
U-031943-5,1e-05,0.336351,0.663639
B-023796-8,1e-05,0.336301,0.663689
W-006268-8,1e-05,0.33542,0.66457
W-048316-5,1e-05,0.335156,0.664834
X-034583-6,1e-05,0.334377,0.665613
S-000279-1,1e-05,0.334317,0.665673
Z-077326-9,1e-05,0.33321,0.66678
A-088442-0,1e-05,0.332807,0.667183
X-001697-4,1e-05,0.332748,0.667242
Q-033433-4,1e-05,0.33227,0.66772
C-146638-4,1e-05,0.331701,0.668289
X-104666-5,1e-05,0.32843,0.67156
M-022044-2,1e-05,0.32809,0.6719
Y-076722-0,1e-05,0.328041,0.671949
R-020960-2,1e-05,0.327881,0.672109
S-044325-0,1e-05,0.326673,0.673317
B-156933-6,1e-05,0.326653,0.673337
V-134265-9,1e-05,0.326344,0.673646
P-010194-9,1e-05,0.325992,0.673998
Z-036853-1,1e-05,0.325647,0.674343
S-053451-2,1e-05,0.325618,0.674372
S-161145-0,1e-05,0.325139,0.674851
E-034599-3,1e-05,0.324443,0.675547
R-098000-4,1e-05,0.324204,0.675786
S-105282-8,1e-05,0.323968,0.676022
J-084878-1,1e-05,0.323769,0.676221
M-061230-0,1e-05,0.322657,0.677333
K-010108-0,1e-05,0.322308,0.677682
F-115879-1,1e-05,0.322014,0.677976
T-046333-1,1e-05,0.32138,0.67861
T-063532-8,1e-05,0.321313,0.678677
U-126911-8,1e-05,0.320393,0.679597
S-072603-6,1e-05,0.319957,0.680033
V-130467-5,1e-05,0.318954,0.681036
W-036634-5,1e-05,0.318665,0.681325
H-081879-2,1e-05,0.318572,0.681418
V-053706-1,1e-05,0.318095,0.681895
T-130627-5,1e-05,0.317997,0.681993
Y-154617-8,1e-05,0.316914,0.683076
W-132718-0,1e-05,0.315829,0.684161
Z-013966-9,1e-05,0.314534,0.685456
Q-119122-0,1e-05,0.312564,0.687426
J-011520-5,1e-05,0.312359,0.687631
Q-121831-3,1e-05,0.311292,0.688698
C-027685-9,1e-05,0.310704,0.689286
G-043889-7,1e-05,0.310188,0.689802
B-064962-6,1e-05,0.308471,0.691519
P-033135-6,1e-05,0.308126,0.691864
W-063229-1,1e-05,0.307824,0.692166
T-033517-6,1e-05,0.30709,0.6929
J-039995-8,1e-05,0.307,0.69299
M-140106-7,1e-05,0.305677,0.694313
S-152424-9,1e-05,0.304249,0.695741
V-144345-7,1e-05,0.303959,0.696031
F-068278-3,1e-05,0.302931,0.697059
B-096129-4,1e-05,0.302687,0.697303
R-102617-0,1e-05,0.302418,0.697572
T-052606-4,1e-05,0.302068,0.697922
X-027590-0,1e-05,0.301169,0.698821
Q-103381-0,1e-05,0.301147,0.698843
A-075347-7,1e-05,0.300809,0.699181
W-116662-9,1e-05,0.300177,0.699813
M-095798-8,1e-05,0.299757,0.700233
A-128636-0,1e-05,0.299395,0.700595
R-046052-7,1e-05,0.299312,0.700678
T-107803-0,1e-05,0.29867,0.70132
U-024734-7,1e-05,0.298628,0.701362
A-116972-2,1e-05,0.298429,0.701561
W-102595-8,1e-05,0.298425,0.701565
K-129699-7,1e-05,0.298233,0.701757
K-012106-2,1e-05,0.297974,0.702016
G-159449-0,1e-05,0.297958,0.702032
V-143517-3,1e-05,0.2979,0.70209
W-016843-6,1e-05,0.297868,0.702122
B-077247-7,1e-05,0.29726,0.70273
P-032343-6,1e-05,0.296761,0.703229
G-099545-9,1e-05,0.296347,0.703643
V-153615-3,1e-05,0.296317,0.703673
D-008669-6,1e-05,0.296084,0.703906
X-073805-7,1e-05,0.296042,0.703948
F-029794-6,1e-05,0.295635,0.704355
R-029204-5,1e-05,0.29539,0.7046
Y-071754-8,1e-05,0.295163,0.704827
S-052803-6,1e-05,0.295064,0.704926
A-003896-0,1e-05,0.294999,0.704991
Y-130965-9,1e-05,0.294984,0.705006
P-132315-4,1e-05,0.294864,0.705126
V-080067-4,1e-05,0.294676,0.705314
V-030558-3,1e-05,0.294675,0.705315
R-140273-4,1e-05,0.294622,0.705368
S-002682-4,1e-05,0.294427,0.705563
O-100274-0,1e-05,0.294349,0.705641
W-146605-3,1e-05,0.294316,0.705674
Q-015271-0,1e-05,0.294303,0.705687
A-067436-8,1e-05,0.293911,0.706079
P-111354-7,1e-05,0.293771,0.706219
Y-082761-0,1e-05,0.293665,0.706325
U-009416-0,1e-05,0.293649,0.706341
Y-108168-7,1e-05,0.293597,0.706393
X-117086-0,1e-05,0.293264,0.706726
R-154034-4,1e-05,0.293252,0.706738
S-142038-0,1e-05,0.29299,0.707
Y-106593-8,1e-05,0.292954,0.707036
Y-126951-4,1e-05,0.292938,0.707052
T-015562-3,1e-05,0.292853,0.707137
Y-148641-5,1e-05,0.292839,0.707151
C-069535-6,1e-05,0.292822,0.707168
E-019785-7,1e-05,0.292761,0.707229
Y-092616-5,1e-05,0.292618,0.707372
P-136410-8,1e-05,0.292288,0.707702
Y-128238-4,1e-05,0.29226,0.70773
Z-092608-2,1e-05,0.292247,0.707743
W-147604-4,1e-05,0.292103,0.707887
T-140248-7,1e-05,0.292056,0.707934
V-084036-5,1e-05,0.292038,0.707952
N-106303-1,1e-05,0.291835,0.708155
R-053027-1,1e-05,0.291738,0.708252
W-080077-3,1e-05,0.291629,0.708361
U-057161-3,1e-05,0.291628,0.708362
A-114587-1,1e-05,0.291521,0.708469
Q-052027-2,1e-05,0.29147,0.70852
A-025964-9,1e-05,0.291419,0.708571
E-087654-2,1e-05,0.291195,0.708795
O-162320-7,1e-05,0.291101,0.708889
H-115989-8,1e-05,0.291031,0.708959
W-147136-7,1e-05,0.291011,0.708979
T-018217-1,1e-05,0.290854,0.709136
V-123348-6,1e-05,0.290785,0.709205
B-053658-4,1e-05,0.29078,0.70921
M-000309-6,1e-05,0.290688,0.709302
C-063793-6,1e-05,0.290629,0.709361
T-108244-5,1e-05,0.290583,0.709407
N-040801-4,1e-05,0.290534,0.709456
V-018714-7,1e-05,0.290514,0.709476
V-057027-7,1e-05,0.290496,0.709494
G-108968-1,1e-05,0.290477,0.709513
Z-157183-6,1e-05,0.290465,0.709525
S-081810-6,1e-05,0.290393,0.709597
P-019131-2,1e-05,0.290267,0.709723
Y-078162-6,1e-05,0.290106,0.709884
X-052907-6,1e-05,0.289909,0.710081
X-144932-2,1e-05,0.289851,0.710139
U-008372-5,1e-05,0.289777,0.710213
E-023889-1,1e-05,0.289736,0.710254
Y-151647-8,1e-05,0.289709,0.710281
K-158796-6,1e-05,0.289703,0.710287
D-153875-3,1e-05,0.289667,0.710323
U-033761-9,1e-05,0.289571,0.710419
N-150421-7,1e-05,0.289554,0.710436
F-148909-7,1e-05,0.289494,0.710496
V-057180-3,1e-05,0.289356,0.710634
F-158575-4,1e-05,0.289337,0.710653
Z-103858-9,1e-05,0.289293,0.710697
M-106041-7,1e-05,0.289136,0.710854
R-032480-6,1e-05,0.289093,0.710897
H-159774-1,1e-05,0.288989,0.711001
A-063692-0,1e-05,0.288984,0.711006
B-144585-9,1e-05,0.288966,0.711024
R-071018-8,1e-05,0.288875,0.711115
V-119226-0,1e-05,0.288874,0.711116
B-075960-7,1e-05,0.288832,0.711158
P-003471-0,1e-05,0.288722,0.711268
V-065037-6,1e-05,0.288668,0.711322
Y-119238-5,1e-05,0.288624,0.711366
V-058404-6,1e-05,0.288539,0.711451
W-142276-6,1e-05,0.288511,0.711479
P-007053-2,1e-05,0.288318,0.711672
I-019879-8,1e-05,0.288271,0.711719
Q-111157-5,1e-05,0.288228,0.711762
V-034194-1,1e-05,0.288184,0.711806
A-158219-8,1e-05,0.288159,0.711831
P-027150-2,1e-05,0.288109,0.711881
F-149368-4,1e-05,0.288058,0.711932
V-013458-6,1e-05,0.287984,0.712006
D-047819-0,1e-05,0.287964,0.712026
C-005788-7,1e-05,0.28784,0.71215
X-042773-3,1e-05,0.287807,0.712183
M-010623-8,1e-05,0.287754,0.712236
D-129197-1,1e-05,0.28774,0.71225
O-024215-7,1e-05,0.287649,0.712341
V-032718-1,1e-05,0.287629,0.712361
B-143487-8,1e-05,0.287617,0.712373
B-034668-6,1e-05,0.287574,0.712416
K-000055-5,1e-05,0.287566,0.712424
Z-147256-3,1e-05,0.287415,0.712575
T-107335-3,1e-05,0.28727,0.71272
M-087977-8,1e-05,0.287262,0.712728
B-058905-4,1e-05,0.287236,0.712754
F-096745-8,1e-05,0.287204,0.712786
M-011514-8,1e-05,0.287199,0.712791
Y-029508-1,1e-05,0.287199,0.712791
K-084969-8,1e-05,0.287157,0.712833
I-121121-8,1e-05,0.287152,0.712838
L-080012-9,1e-05,0.287146,0.712844
Q-151504-0,1e-05,0.287033,0.712957
T-117370-7,1e-05,0.286964,0.713026
W-072760-4,1e-05,0.286927,0.713063
A-060956-3,1e-05,0.286906,0.713084
S-111762-2,1e-05,0.286903,0.713087
A-083843-5,1e-05,0.286888,0.713102
U-154910-6,1e-05,0.286881,0.713109
U-093242-7,1e-05,0.286843,0.713147
W-018823-6,1e-05,0.286827,0.713163
M-012360-4,1e-05,0.286738,0.713252
J-148886-7,1e-05,0.286731,0.713259
Y-016872-5,1e-05,0.286714,0.713276
H-076389-8,1e-05,0.28671,0.71328
C-096670-7,1e-05,0.286708,0.713282
V-009750-2,1e-05,0.28667,0.71332
Q-132631-4,1e-05,0.286615,0.713375
