Sample	Population code	Population	Superpopulation code	Superpopulation	Source	Latitude	Longitude	Region	Sample Alias	Country	Town	Single_Ancestry
HG00361	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00362	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00364	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00365	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00366	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00367	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00368	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00369	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00371	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00372	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00373	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00375	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00376	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00378	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00379	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00380	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00381	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00382	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00383	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00384	FIN	Finnish	EUR	European	1kG	64.49884603	26.2746656					1
HG00403	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00404	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00406	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00407	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00409	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
